steer_dim,player_name,Affiliation,Affiliation:scstd,Assertiveness,Assertiveness:scstd,Behavioral Inhibition System,Behavioral Inhibition System:scstd,Breadth of Interest,Breadth of Interest:scstd,Complexity,Complexity:scstd,Dependence,Dependence:scstd,Depth,Depth:scstd,Emotional Expression,Emotional Expression:scstd,Emotional Processing,Emotional Processing:scstd,Empathy,Empathy:scstd,Extraversion,Extraversion:scstd,Imagination,Imagination:scstd,Nurturance,Nurturance:scstd,Perspective Taking,Perspective Taking:scstd,Poise,Poise:scstd,Positive Expressivity,Positive Expressivity:scstd,Preference for Order and Structure,Preference for Order and Structure:scstd,Privacy,Privacy:scstd,Psychosocial flourishing,Psychosocial flourishing:scstd,Reflection,Reflection:scstd,Satisfaction with life,Satisfaction with life:scstd,Sociability,Sociability:scstd,Social,Social:scstd,Social Confidence,Social Confidence:scstd,Social Withdrawal,Social Withdrawal:scstd,Sympathy,Sympathy:scstd,Tenderness,Tenderness:scstd,Theoretical,Theoretical:scstd,Understanding,Understanding:scstd,Warmth,Warmth:scstd,stds
,Stephanie Blankenship,0.2857142857142857,0,0.5,0,0.0,0,1.0,0,1.0,0,-1.0,0,1.0,0,1.0,0,1.0,0,0.4444444444444444,0,0.4444444444444444,0,1.0,0,-0.2,0,0.6666666666666666,0,-0.16666666666666666,0,0.75,0,0.5714285714285714,0,1.0,0,0.5,0,0.5,0,0.5,0,1.0,0,0.6470588235294118,0,0.5,0,-0.3333333333333333,0,0.3333333333333333,0,0.7777777777777778,0,0.5789473684210527,0,0.625,0,1.0,0,0.5604378940545282
10096,Stephanie Blankenship,-0.7142857142857143,0.4330127018922193,-0.16666666666666666,0.0,0.0,2.0,0.6666666666666666,0.0,1.0,0,-1.0,0,0.75,0.0,1.0,0,1.0,0,0.4444444444444444,2.0,0.2222222222222222,0.0,1.0,0,0.0,0.0,0.6666666666666666,0,-0.3333333333333333,1.699673171197595,0.5,0.0,0.8571428571428571,0.0,1.0,0,0.375,1.5,0.5,0,0.0,0.0,0.3333333333333333,0.0,0.8823529411764706,1.7320508075688772,0.0,0.5,-0.3333333333333333,2.0,0.3333333333333333,0,0.3333333333333333,0.0,0.7894736842105263,0.0,0.375,0.0,0.6666666666666666,0.0,0.6741651492021373
8387,Stephanie Blankenship,0.42857142857142855,0.0,0.16666666666666666,0.0,-0.5,0.0,0.8333333333333334,0.0,1.0,0,-1.0,0,1.0,0,1.0,0,1.0,0,0.2222222222222222,0.0,0.2222222222222222,0.0,1.0,0,-0.2,2.0,0.6666666666666666,0,0.3333333333333333,0.5,0.25,0.0,0.5714285714285714,0,1.0,0,0.375,1.5,0.5,0,0.0,0.0,0.8333333333333334,0.0,0.9411764705882353,0.4714045207910317,0.6666666666666666,0.0,-0.3333333333333333,0,0.3333333333333333,2.0,0.7777777777777778,2.0,0.47368421052631576,0.0,0.625,2.0,1.0,0,0.6029432603483893
2221,Stephanie Blankenship,0.5714285714285714,0.0,0.16666666666666666,0.0,0.0,0,0.6666666666666666,0.0,1.0,0,-0.3333333333333333,0.0,1.0,0,1.0,0,0.5,0.0,0.3333333333333333,1.8856180831641267,0.4444444444444444,0,1.0,0,-0.2,2.0,0.6666666666666666,0,0.16666666666666666,0.0,0.25,0.0,0.5714285714285714,2.0,1.0,0,0.5,2.0,0.0,0.0,0.5,0,1.0,0,0.6470588235294118,0,0.5,0,-0.3333333333333333,0,0.5555555555555556,1.8856180831641267,1.0,0.0,0.47368421052631576,0.0,0.375,0.0,1.0,0,0.6431587365917986
1312,Stephanie Blankenship,0.5714285714285714,0.0,0.5,0,0.0,0,0.5833333333333334,0.4714045207910317,1.0,0,-1.0,0,1.0,0,1.0,0,0.75,0.0,0.3333333333333333,0.0,0.4444444444444444,0,1.0,0,-0.4,0.0,0.6666666666666666,0,0.16666666666666666,0.0,0.0,0.0,0.42857142857142855,0.0,1.0,0,0.5,0,0.0,0.0,0.5,0,1.0,0,0.7647058823529411,0.0,0.5,0,-0.3333333333333333,0,0.5555555555555556,1.8856180831641267,1.0,0.0,0.5789473684210527,0,0.5,0.0,1.0,0,0.5873246302864652
7502,Stephanie Blankenship,0.5714285714285714,0.0,0.5,0,0.0,0,0.6666666666666666,0.0,1.0,0,-1.0,0,1.0,0,1.0,0,0.5,0.0,0.4444444444444444,0,0.4444444444444444,0,1.0,0,-0.2,2.0,0.6666666666666666,0,0.16666666666666666,0.0,0.25,0.0,0.2857142857142857,0.0,1.0,0,0.5,0,0.5,0,0.0,0.0,0.8333333333333334,0.0,0.6470588235294118,0,0.5,0,-0.3333333333333333,0,0.7777777777777778,0.0,1.0,0.0,0.47368421052631576,0.0,0.375,0.0,1.0,0,0.6224152106228138
14049,Stephanie Blankenship,0.42857142857142855,1.5,0.4166666666666667,1.5,-0.5,0.0,0.5,0.0,1.0,0,0.3333333333333333,0.0,1.0,0,1.0,0,0.5,0.0,0.3333333333333333,1.8856180831641267,0.4444444444444444,0,1.0,0,0.2,1.7320508075688772,0.6666666666666666,0,0.0,1.5,0.5,0.0,0.5714285714285714,2.0,1.0,0,0.5,0,0.5,0,0.0,0.0,0.8333333333333334,0.0,0.7647058823529411,0.0,0.3333333333333333,0.0,-0.3333333333333333,0,0.5555555555555556,1.9595917942265426,1.0,0.0,0.5789473684210527,0,0.375,0.0,1.0,0,0.6627068577729537
3183,Stephanie Blankenship,0.2857142857142857,0,0.4166666666666667,1.5,0.5,0.0,0.6666666666666666,0.4714045207910317,0.5,0.0,-0.3333333333333333,0.0,0.75,0.0,1.0,0,1.0,0,0.16666666666666666,1.674979270186815,0.2222222222222222,0.0,1.0,0,0.2,0.0,0.6666666666666666,0,-0.16666666666666666,0,0.5,0.0,0.5714285714285714,0,1.0,0,0.375,1.5,0.5,0,0.75,0.0,0.8333333333333334,0.0,0.8235294117647058,1.4142135623730951,0.16666666666666666,0.0,-0.3333333333333333,0,0.1111111111111111,0.0,0.7777777777777778,2.0,0.8421052631578947,1.5491933384829668,0.625,1.4142135623730951,1.0,0,0.653165740765396
6619,Stephanie Blankenship,0.2857142857142857,0,0.5,0,0.0,2.0,0.8333333333333334,0.0,1.0,0,-1.0,0,1.0,0,1.0,0,1.0,0,0.3333333333333333,0.0,0.4444444444444444,0,1.0,0,0.2,1.7320508075688772,0.6666666666666666,0,0.16666666666666666,0.0,0.25,0.0,1.0,0.0,1.0,0,0.5,2.0,0.5,0,0.5,0,1.0,0,0.7647058823529411,0.0,0.6666666666666666,0.0,-0.3333333333333333,0,0.7777777777777778,0.0,1.0,0.0,0.47368421052631576,1.8856180831641267,0.75,0.0,1.0,0,0.5255311035787468
1341,Stephanie Blankenship,-0.14285714285714285,0.5,0.16666666666666666,0.0,0.0,0,0.8333333333333334,0.0,1.0,0,-1.0,0,1.0,0,1.0,0,1.0,0,0.3333333333333333,0.0,0.4444444444444444,0,1.0,0,-0.4,0.0,0.6666666666666666,0,0.0,1.5,0.5,0.0,0.5714285714285714,2.0,1.0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.6470588235294118,0,0.3333333333333333,0.0,-0.3333333333333333,0,0.1111111111111111,0.0,0.7777777777777778,2.0,0.5789473684210527,0,0.75,0.0,1.0,0,0.6306529703687196
,Joseph Diaz,0.14285714285714285,0,0.0,0,0.0,0,0.6666666666666666,0,1.0,0,-1.0,0,0.75,0,1.0,0,1.0,0,0.3333333333333333,0,0.2222222222222222,0,1.0,0,-0.2,0,0.6666666666666666,0,0.0,0,0.75,0,0.42857142857142855,0,1.0,0,0.5,0,0.0,0,0.0,0,1.0,0,0.8823529411764706,0,0.0,0,-0.3333333333333333,0,0.7777777777777778,0,1.0,0,0.47368421052631576,0,0.25,0,1.0,0,0.6100864046121708
10096,Joseph Diaz,-0.7142857142857143,0.0,0.25,0.5,0.0,2.0,1.0,0.0,1.0,0,-1.0,0,1.0,0.0,1.0,0,1.0,0,0.3333333333333333,2.0,0.3333333333333333,0.0,1.0,0,0.0,0.0,0.6666666666666666,0,-0.3333333333333333,1.8856180831641267,0.5,0.0,0.42857142857142855,0,0.3333333333333333,0.0,0.5,2.0,0.5,0.0,0.5,0.0,0.5,0.0,0.7647058823529411,0.0,-0.16666666666666666,1.5,-0.3333333333333333,2.0,0.5555555555555556,0.0,0.3333333333333333,0.0,0.6842105263157895,0.0,0.625,0.0,1.0,0,0.6338964652611702
