steer_dim,player_name,Affiliation,Affiliation:scstd,Assertiveness,Assertiveness:scstd,Behavioral Inhibition System,Behavioral Inhibition System:scstd,Breadth of Interest,Breadth of Interest:scstd,Complexity,Complexity:scstd,Dependence,Dependence:scstd,Depth,Depth:scstd,Emotional Expression,Emotional Expression:scstd,Emotional Processing,Emotional Processing:scstd,Empathy,Empathy:scstd,Extraversion,Extraversion:scstd,Imagination,Imagination:scstd,Nurturance,Nurturance:scstd,Perspective Taking,Perspective Taking:scstd,Poise,Poise:scstd,Positive Expressivity,Positive Expressivity:scstd,Preference for Order and Structure,Preference for Order and Structure:scstd,Privacy,Privacy:scstd,Psychosocial flourishing,Psychosocial flourishing:scstd,Reflection,Reflection:scstd,Satisfaction with life,Satisfaction with life:scstd,Sociability,Sociability:scstd,Social,Social:scstd,Social Confidence,Social Confidence:scstd,Social Withdrawal,Social Withdrawal:scstd,Sympathy,Sympathy:scstd,Tenderness,Tenderness:scstd,Theoretical,Theoretical:scstd,Understanding,Understanding:scstd,Warmth,Warmth:scstd,stds
1312,,0.571428571,1.699673171,0.333333333,0,1,0,0.833333333,0,1,0,0,1.5,0.75,0,1,0,0.75,0,0.444444444,0,-0.111111111,1.5,1,0,0.2,0,0.666666667,0,0.166666667,0,0.5,0,0.714285714,0,1,0,0.875,0.5,1,0,0.5,0,1,0,0.764705882,0,0,1.414213562,-0.333333333,0,0.777777778,0,1,0,0.894736842,0,0.5,0,1,0,0.518094298
1312,John Mcfarland,0.571428571,0,0.166666667,0,0,0,0.416666667,0,1,0,-1,0,1,0,1,0,0.75,0,0.222222222,1.885618083,0,0,1,0,-0.4,1.885618083,0.666666667,0,0.166666667,0,0.5,2,0.857142857,0,1,0,0.5,0,0,0,0,0,1,0,0.764705882,0,0.166666667,0,-0.333333333,0,0.777777778,2,1,0,0.578947368,0,0.375,0,1,0,0.586314746
1312,Adam Perkins,0.571428571,0,-0.083333333,1.785357107,0.5,0,0.416666667,0.5,1,0,-1,0,0.75,0,1,0,0.5,0,0.222222222,1.885618083,0.555555556,0.471404521,1,0,-0.6,0,0.666666667,0,0.5,0,0.25,0,0.571428571,0,1,0,0.625,0,0,0,0,0,1,0,0.764705882,0,0.333333333,0,-0.333333333,0,0.555555556,2,0.777777778,0,0.473684211,0,0.25,1.885618083,1,0,0.634438064
1312,Jason Shields,0.714285714,0,0.416666667,0,0.5,0,0.583333333,0,1,0,-1,0,1,0,1,0,0.75,0,0.333333333,0,0.555555556,0.5,1,0,0,0,0.666666667,0,0.333333333,2,0.75,0,0.285714286,0,1,0,0.5,0,0,0,1,0,1,0,0.764705882,0,0.166666667,0,-0.333333333,0,0.555555556,0,1,0,0.578947368,0,0.375,0,1,0,0.5493458
1312,Brianna Simon,0.428571429,0,-0.166666667,1.732050808,0,0,0.583333333,0.5,1,0,-1,0,0.75,0,1,0,0.75,0,0.333333333,0,0.444444444,2,1,0,-0.2,2,0.666666667,0,0.333333333,0,0.5,0,0.571428571,0,1,0,1,0,0,0,0.5,0,1,0,0.882352941,0,0,0,-0.333333333,0,0.333333333,0,1,0,0.684210526,0,0.5,0,1,0,0.58965476
1312,Sandra Garrett,0.285714286,0.5,0.5,0,0,0,0.416666667,0.5,0.5,0,-1,0,1,0,1,0,0.75,0,0.333333333,0,0.666666667,0,1,0,-0.4,0,0.666666667,0,0.166666667,0.5,0.625,0,0.428571429,0,1,0,0.75,0,0,0,0.5,0,1,0,0.764705882,0,0.166666667,0,0.333333333,0,0.555555556,1.885618083,0.777777778,0,0.578947368,0,0.25,0,0.833333333,0,0.643484676
1312,Jonathan Young,0.571428571,0,0.25,1.5,0.5,0,0.416666667,0.5,1,0,-1,0,0.75,0,1,0,0.5,0,0,0,0.555555556,0.5,1,0,-0.6,0,0.666666667,0,0.5,0,0.375,0,0.571428571,0,1,0,0.5,0,-0.5,0,0,0,1,0,0.764705882,0,0.333333333,0,-0.333333333,0,0.555555556,2,1,0,0.578947368,0,0.5,0,1,0,0.605242175
1312,Susan Cox,0.571428571,0,0.333333333,0,0,0,0.583333333,0.5,1,0,-1,0,1,0,1,0,1,0,0.333333333,1.885618083,0.666666667,0,1,0,-0.8,0,0.666666667,0,0.666666667,0.433012702,0.5,0,0.714285714,2,1,0,0.75,2,0.5,0,0.5,0,0.833333333,0,0.764705882,0,0.166666667,2,-0.333333333,0,0.555555556,1.885618083,1,0,0.473684211,0,0.5,0,1,0,0.556856184
1312,Tracey Henderson,0.571428571,0,0.333333333,1.959591794,0,0,0.583333333,0,1,0,-1,0,0.75,0,1,0,0.5,0,0.333333333,0,0.666666667,0,0.5,0,-0.2,2,0.666666667,0,0.5,0,0.5,0,0.571428571,0,1,0,0.75,0,0.5,0,0.5,0,1,0,0.764705882,0,0.5,0,-0.333333333,0,0.555555556,0,1,0,0.578947368,0,0.5,2,1,0,0.628876959
1312,Kristin Shaffer,0.428571429,0,0.5,0,0,0,0.583333333,0,1,0,-0.333333333,0,0.75,0,1,0,1,0,0.333333333,0,0.666666667,0,1,0,-0.6,0,0.666666667,0,0.333333333,0,0.75,0,0.285714286,1.885618083,1,0,1,0,0.5,0,0,0,1,0,0.764705882,2,0.333333333,0,-0.333333333,0,0.555555556,2,1,0,0.684210526,2,0.25,0,1,0,0.592513639
