steer_dim,player_name,Affiliation,Affiliation:scstd,Assertiveness,Assertiveness:scstd,Behavioral Inhibition System,Behavioral Inhibition System:scstd,Breadth of Interest,Breadth of Interest:scstd,Complexity,Complexity:scstd,Dependence,Dependence:scstd,Depth,Depth:scstd,Emotional Expression,Emotional Expression:scstd,Emotional Processing,Emotional Processing:scstd,Empathy,Empathy:scstd,Extraversion,Extraversion:scstd,Imagination,Imagination:scstd,Nurturance,Nurturance:scstd,Perspective Taking,Perspective Taking:scstd,Poise,Poise:scstd,Positive Expressivity,Positive Expressivity:scstd,Preference for Order and Structure,Preference for Order and Structure:scstd,Privacy,Privacy:scstd,Psychosocial flourishing,Psychosocial flourishing:scstd,Reflection,Reflection:scstd,Satisfaction with life,Satisfaction with life:scstd,Sociability,Sociability:scstd,Social,Social:scstd,Social Confidence,Social Confidence:scstd,Social Withdrawal,Social Withdrawal:scstd,Sympathy,Sympathy:scstd,Tenderness,Tenderness:scstd,Theoretical,Theoretical:scstd,Understanding,Understanding:scstd,Warmth,Warmth:scstd,stds
,Jenna Medina,-0.14285714285714285,0,0.5,0,0.5,0,0.6666666666666666,0,1.0,0,-1.0,0,0.75,0,1.0,0,0.5,0,0.3333333333333333,0,0.4444444444444444,0,1.0,0,0.0,0,0.6666666666666666,0,-0.6666666666666666,0,0.75,0,0.5714285714285714,0,1.0,0,1.0,0,0.0,0,0.5,0,0.8333333333333334,0,0.8823529411764706,0,0.0,0,0.3333333333333333,0,0.5555555555555556,0,0.5555555555555556,0,0.47368421052631576,0,0.375,0,1.0,0,0.634819177459623
10096,Jenna Medina,-0.7142857142857143,0.0,0.16666666666666666,1.7320508075688772,0.0,0.0,1.0,0.0,1.0,0,-1.0,0,0.75,2.0,1.0,0,1.0,0.0,0.6666666666666666,0.0,0.2222222222222222,0.0,1.0,0,0.2,0.0,0.6666666666666666,0,-0.6666666666666666,0,0.25,0.0,0.42857142857142855,0.0,1.0,0,0.75,0.0,0.0,0,0.0,0.0,0.5,1.7320508075688772,0.6470588235294118,0.0,-0.3333333333333333,0.0,-0.3333333333333333,0.0,0.5555555555555556,0,0.1111111111111111,0.0,0.631578947368421,1.4142135623730951,0.5,1.9595917942265426,1.0,0,0.6319531605950074
8387,Jenna Medina,-0.14285714285714285,0,0.0,0.0,0.0,0.0,0.6666666666666666,0,1.0,0,-1.0,0,0.75,0,1.0,0,1.0,0.0,0.6666666666666666,0.0,0.4444444444444444,0,1.0,0,-0.2,0.0,0.6666666666666666,0,-0.6666666666666666,0,0.5,0.0,0.42857142857142855,0.0,1.0,0,0.75,0.0,0.5,0.0,0.5,0,0.6666666666666666,0.0,0.8823529411764706,0,0.0,0,0.3333333333333333,0,0.5555555555555556,0,0.5555555555555556,2.0,0.3684210526315789,1.8856180831641267,0.25,0.0,1.0,0,0.6442173119284241
2221,Jenna Medina,0.5714285714285714,0.4714045207910317,-0.3333333333333333,0.0,0.5,0,0.5,0.0,1.0,0,-1.0,0,0.75,0,1.0,0,0.5,0,0.4444444444444444,0.0,0.0,0.0,1.0,0,-0.2,0.0,0.6666666666666666,0,0.16666666666666666,0.4714045207910317,0.75,0,0.2857142857142857,0.0,1.0,0,0.75,0.0,-0.5,0.0,0.5,0,0.8333333333333334,0,0.7647058823529411,0.0,0.16666666666666666,1.699673171197595,-0.3333333333333333,0.0,0.5555555555555556,0,0.7777777777777778,0.0,0.3684210526315789,0.0,0.375,0,1.0,0,0.6586493327649913
1312,Jenna Medina,0.42857142857142855,0.0,0.16666666666666666,0.0,0.5,0,0.4166666666666667,0.5,1.0,0,-1.0,0,0.75,0,1.0,0,0.5,0,0.4444444444444444,0.0,0.2222222222222222,0.0,1.0,0,-0.2,0.0,0.6666666666666666,0,0.0,0.0,0.5,0.0,0.5714285714285714,0,1.0,0,1.0,0,-0.5,0.0,0.5,0,0.8333333333333334,0,0.7647058823529411,0.0,0.3333333333333333,0.0,-0.3333333333333333,0.0,0.5555555555555556,0,1.0,0.0,0.5789473684210527,0.0,0.25,0.0,1.0,0,0.6266269029543526
7502,Jenna Medina,0.42857142857142855,0.0,-0.16666666666666666,0.0,0.0,0.0,0.5,0.0,1.0,0,-1.0,0,0.75,0,1.0,0,0.5,0,0.3333333333333333,0,0.0,0.0,1.0,0,-0.2,0.0,0.6666666666666666,0,0.0,0.0,0.75,0,0.42857142857142855,0.0,1.0,0,1.0,0,0.0,0,0.5,0,0.8333333333333334,0,0.7647058823529411,0.0,0.0,2.0,-0.3333333333333333,0.0,0.7777777777777778,0.0,1.0,0.0,0.47368421052631576,0,0.375,0,1.0,0,0.6300323066254521
14049,Jenna Medina,0.42857142857142855,0.0,-0.08333333333333333,1.2,0.0,0.0,0.5,0.0,1.0,0,0.3333333333333333,0.0,1.0,0.0,1.0,0,0.5,0,0.3333333333333333,2.0,0.0,0.0,1.0,0,0.4,1.7320508075688772,0.6666666666666666,0,0.0,0.0,0.75,0,0.7142857142857143,1.8856180831641267,1.0,0,0.75,0.0,0.0,2.0,0.0,0.0,0.8333333333333334,0,0.8823529411764706,0,0.0,2.0,-0.3333333333333333,0.0,0.5555555555555556,2.0,1.0,0.0,0.47368421052631576,2.0,0.5,0.0,1.0,0,0.6548916030921591
3183,Jenna Medina,-0.14285714285714285,0,0.5,2.0,0.5,0,0.6666666666666666,1.0,0.75,0.0,-0.6666666666666666,0.0,0.75,2.0,1.0,0,0.75,0.0,0.3333333333333333,2.0,0.2222222222222222,0.0,1.0,0,0.4,0.0,0.6666666666666666,0,-0.6666666666666666,0,0.375,0.5,0.21428571428571427,0.4714045207910317,1.0,0,0.5,0.4714045207910317,0.5,0.0,0.75,0.0,0.4166666666666667,0.4714045207910317,0.8235294117647058,0.0,-0.6666666666666666,0.0,0.3333333333333333,0,0.5555555555555556,0,0.7777777777777778,1.8856180831641267,0.7368421052631579,1.3437096247164249,0.25,1.247219128924647,0.8333333333333334,0.0,0.6585727524931114
6619,Jenna Medina,0.14285714285714285,0.0,0.16666666666666666,0.0,0.5,0,0.6666666666666666,0,1.0,0,-1.0,0,1.0,0.0,1.0,0,1.0,0.0,0.4444444444444444,1.8856180831641267,0.2222222222222222,0.0,1.0,0,-0.2,1.8856180831641267,0.6666666666666666,0,0.0,0.0,0.75,0,0.5714285714285714,0,1.0,0,0.75,0.0,0.0,0,0.5,0,0.6666666666666666,0.0,0.7647058823529411,0.0,0.3333333333333333,0.0,-0.3333333333333333,0.0,0.7777777777777778,0.0,0.7777777777777778,0.0,0.5789473684210527,0.0,0.25,0.0,1.0,0,0.6149979302483393
1341,Jenna Medina,-0.14285714285714285,2.0,0.0,0.0,0.5,0,0.5,0.0,1.0,0,-1.0,0,0.75,0,1.0,0,0.5,0,0.3333333333333333,2.0,0.4444444444444444,0,1.0,0,0.0,0,0.6666666666666666,0,0.0,0.0,0.75,0,0.8571428571428571,0.0,1.0,0,1.0,0,0.0,0,0.5,0,0.6666666666666666,0.0,0.8823529411764706,0,0.3333333333333333,0.0,-1.0,0.0,0.3333333333333333,0.0,0.7777777777777778,1.8856180831641267,0.47368421052631576,2.0,0.5,0.0,1.0,0,0.6096088545617891
