steer_dim,player_name,Achievement,Achievement:scstd,Aesthetic,Aesthetic:scstd,Anxiety Disorder,Anxiety Disorder:scstd,Breadth of Interest,Breadth of Interest:scstd,Economic,Economic:scstd,Empathy,Empathy:scstd,Organization,Organization:scstd,Political,Political:scstd,Positive coping,Positive coping:scstd,Religious,Religious:scstd,Resilience,Resilience:scstd,Social,Social:scstd,Social Complexity,Social Complexity:scstd,Social Cynicism,Social Cynicism:scstd,Theoretical,Theoretical:scstd,Uncertainty Avoidance,Uncertainty Avoidance:scstd,Understanding,Understanding:scstd,stds,scstds
,,0.6666666666666666,-1,0.0,-1,-0.6666666666666666,-1,0.6666666666666666,-1,0.3333333333333333,-1,1.0,-1,1.0,-1,-0.3333333333333333,-1,0.5,-1,0.3333333333333333,-1,1.0,-1,-0.3333333333333333,-1,1.0,-1,-0.6666666666666666,-1,0.6666666666666666,-1,-0.3333333333333333,-1,1.0,-1,0.6062853278937884,
63905,,0.6666666666666666,-1,0.3333333333333333,-1,-0.6666666666666666,-1,0.3333333333333333,-1,0.3333333333333333,-1,1.0,-1,1.0,-1,-0.3333333333333333,-1,0.5,-1,0.6666666666666666,-1,1.0,-1,0.3333333333333333,0.0,0.7142857142857143,-1,-1.0,-1,0.0,0.0,0.0,1.8856180831641267,1.0,-1,0.6185878118481359,0.6285393610547089
48321,,0.6666666666666666,-1,-0.3333333333333333,-1,-0.6666666666666666,-1,0.3333333333333333,-1,0.3333333333333333,-1,1.0,-1,1.0,-1,0.3333333333333333,0.0,0.5,-1,0.0,-1,1.0,-1,0.0,-1,1.0,-1,-0.6666666666666666,-1,0.3333333333333333,1.8856180831641267,0.3333333333333333,0.0,0.6666666666666666,-1,0.6767237425456786,0.6285393610547089
1897,,0.6666666666666666,-1,0.0,-1,-0.6666666666666666,-1,0.6666666666666666,-1,0.3333333333333333,-1,1.0,-1,1.0,-1,-0.3333333333333333,-1,0.25,-1,0.3333333333333333,-1,1.0,-1,-0.3333333333333333,-1,1.0,-1,-0.6666666666666666,-1,0.6666666666666666,-1,-0.3333333333333333,-1,1.0,-1,0.6122982945271659,
2509,,0.6666666666666666,-1,-0.6666666666666666,0.0,-0.6666666666666666,-1,0.6666666666666666,-1,0.0,-1,1.0,-1,1.0,-1,0.0,-1,0.5,-1,0.0,-1,1.0,-1,0.3333333333333333,0.0,1.0,-1,-0.3333333333333333,-1,0.0,0.0,-0.6666666666666666,-1,1.0,-1,0.6163778499675421,0.0
60312,,0.6666666666666666,2.0,-0.6666666666666666,0.0,-0.6666666666666666,-1,0.6666666666666666,-1,0.3333333333333333,-1,1.0,-1,1.0,-1,-0.16666666666666666,-1,0.5,-1,-0.3333333333333333,0.0,1.0,-1,-0.3333333333333333,2.0,1.0,-1,-1.0,-1,0.3333333333333333,1.8856180831641267,0.16666666666666666,1.4142135623730951,1.0,-1,0.5537494397543479,1.216638607589537
7754,,0.0,0.7453559924999298,0.0,1.0,0.0,0.7453559924999298,0.0,0.7453559924999298,0.0,0.9428090415820634,0.0,0.0,-0.16666666666666666,0.3726779962499649,0.0,0.9428090415820634,-0.125,0.6998542122237652,0.0,0.9428090415820634,-0.14285714285714285,0.34992710611188266,0.0,0.9428090415820634,0.0,0.0,0.0,0.7453559924999298,-0.16666666666666666,0.8975274678557507,0.0,0.9428090415820634,0.0,0.0,0.08388247132322861,0.6479679976677294
49202,,0.6666666666666666,-1,-0.3333333333333333,-1,-0.6666666666666666,-1,0.6666666666666666,-1,0.3333333333333333,-1,1.0,-1,1.0,-1,0.3333333333333333,0.0,0.5,-1,0.6666666666666666,-1,1.0,-1,0.3333333333333333,0.0,1.0,-1,-0.6666666666666666,-1,0.0,0.0,-0.3333333333333333,-1,0.6666666666666666,-1,0.6501297980408431,0.0
2246,,0.6666666666666666,-1,-0.6666666666666666,0.0,-0.6666666666666666,-1,0.6666666666666666,-1,0.3333333333333333,-1,1.0,-1,1.0,-1,0.0,-1,0.25,-1,0.3333333333333333,2.0,1.0,-1,-0.3333333333333333,-1,0.42857142857142855,0.0,-0.6666666666666666,-1,-0.16666666666666666,0.4714045207910317,0.0,1.8856180831641267,1.0,-1,0.6661463702681585,0.8714045207910317
13033,,0.3333333333333333,0.0,-0.16666666666666666,-1,-0.6666666666666666,-1,0.6666666666666666,2.0,-0.5,0.4714045207910317,0.375,0.0,0.8333333333333334,-1,-0.16666666666666666,0.9428090415820634,0.375,1.5,0.0,1.2000000000000002,0.42857142857142855,0.4714045207910317,0.0,1.247219128924647,0.14285714285714285,0.5,-0.6666666666666666,1.4142135623730951,0.5,0.9428090415820634,-0.3333333333333333,1.5811388300841898,0.8333333333333334,-1,0.667235877545401,0.9439229727790862
58305,,0.6666666666666666,-1,-0.3333333333333333,-1,-0.6666666666666666,-1,0.6666666666666666,-1,0.3333333333333333,-1,1.0,-1,1.0,-1,0.0,-1,0.5,-1,0.0,-1,1.0,-1,0.0,-1,1.0,-1,-0.6666666666666666,-1,0.3333333333333333,1.8856180831641267,-0.3333333333333333,2.0,1.0,-1,0.6246285611830831,1.9428090415820634
41929,,0.6666666666666666,-1,-0.3333333333333333,-1,-0.6666666666666666,-1,0.6666666666666666,-1,0.3333333333333333,-1,1.0,-1,1.0,-1,-0.3333333333333333,-1,0.5,-1,0.6666666666666666,-1,1.0,-1,0.0,-1,1.0,-1,-0.6666666666666666,-1,0.3333333333333333,1.8856180831641267,-0.3333333333333333,2.0,0.6666666666666666,-1,0.650129798040843,1.9428090415820634
20141,,0.8333333333333334,-1,-0.6666666666666666,0.0,-0.6666666666666666,-1,0.5,1.5,0.3333333333333333,-1,0.75,-1,1.0,-1,-0.3333333333333333,-1,0.5,2.0,-0.3333333333333333,0.0,0.7142857142857143,-1,0.0,-1,1.0,-1,-0.6666666666666666,-1,0.3333333333333333,1.8856180831641267,0.5,0.4714045207910317,0.5,0.5,0.6999169077253106,0.9081460862793084
12477,,0.6666666666666666,-1,-0.3333333333333333,-1,-0.6666666666666666,-1,0.6666666666666666,-1,0.3333333333333333,-1,1.0,-1,1.0,-1,-0.3333333333333333,-1,0.5,-1,0.3333333333333333,-1,1.0,-1,-0.3333333333333333,-1,1.0,-1,-0.6666666666666666,-1,0.6666666666666666,-1,-0.6666666666666666,-1,1.0,-1,0.5913062686290784,
54606,,0.6666666666666666,-1,-0.3333333333333333,-1,-0.6666666666666666,-1,0.6666666666666666,-1,0.3333333333333333,-1,1.0,-1,1.0,-1,-0.3333333333333333,-1,0.25,-1,0.3333333333333333,-1,1.0,-1,0.3333333333333333,0.0,1.0,-1,-0.6666666666666666,-1,0.0,0.0,-0.3333333333333333,-1,1.0,-1,0.6239131797672914,0.0
21347,,0.6666666666666666,-1,0.0,-1,-0.6666666666666666,-1,0.6666666666666666,-1,0.3333333333333333,-1,1.0,-1,1.0,-1,-0.3333333333333333,-1,0.25,-1,0.6666666666666666,-1,1.0,-1,0.0,-1,1.0,-1,-0.6666666666666666,-1,0.6666666666666666,-1,-0.6666666666666666,-1,1.0,-1,0.5924326980714993,
4305,,0.6666666666666666,2.0,-0.3333333333333333,1.8856180831641267,-0.6666666666666666,-1,1.0,-1,0.5,-1,0.75,-1,1.0,-1,-0.3333333333333333,-1,0.25,-1,-0.3333333333333333,0.0,0.7142857142857143,-1,-0.3333333333333333,2.0,1.0,-1,-1.0,-1,-0.3333333333333333,0.0,-0.3333333333333333,2.0,1.0,-1,0.6024039251094107,1.3142696805273546
30919,,0.6666666666666666,-1,-0.6666666666666666,0.0,-0.6666666666666666,-1,1.0,-1,0.3333333333333333,-1,1.0,-1,1.0,-1,-0.3333333333333333,-1,0.25,-1,-0.3333333333333333,0.0,1.0,-1,0.3333333333333333,0.0,1.0,-1,-0.6666666666666666,-1,-0.3333333333333333,0.0,0.0,1.8856180831641267,1.0,-1,0.5684538243801112,0.37712361663282534
34598,,0.6666666666666666,-1,-0.3333333333333333,-1,-0.6666666666666666,-1,0.6666666666666666,-1,0.3333333333333333,-1,1.0,-1,1.0,-1,-0.3333333333333333,-1,0.5,-1,1.0,0.0,1.0,-1,-0.3333333333333333,-1,1.0,-1,-0.6666666666666666,-1,0.0,0.0,-0.3333333333333333,-1,1.0,-1,0.5624408577467338,0.0
51010,,0.6666666666666666,-1,-0.3333333333333333,-1,-0.6666666666666666,-1,0.6666666666666666,-1,0.3333333333333333,-1,1.0,-1,1.0,-1,-0.3333333333333333,-1,0.5,-1,0.6666666666666666,-1,1.0,-1,0.0,-1,1.0,-1,-0.6666666666666666,-1,0.3333333333333333,-1,-0.3333333333333333,2.0,1.0,-1,0.6062853278937884,2.0
62769,,0.6666666666666666,-1,-0.5,1.4142135623730951,-0.6666666666666666,-1,0.6666666666666666,-1,0.3333333333333333,1.0,1.0,-1,1.0,-1,-0.16666666666666666,-1,0.5,-1,-0.16666666666666666,0.5,1.0,-1,-0.3333333333333333,-1,1.0,-1,-0.3333333333333333,0.0,0.16666666666666666,1.6393596310755,-0.16666666666666666,1.699673171197595,0.8333333333333334,-1,0.6036567583155937,1.0422077274410315
47207,,1.0,-1,-0.6666666666666666,0.0,-0.6666666666666666,-1,1.0,-1,0.3333333333333333,-1,1.0,-1,1.0,-1,0.0,-1,0.25,-1,0.0,-1,0.7142857142857143,-1,-0.3333333333333333,-1,1.0,-1,-0.6666666666666666,-1,0.3333333333333333,1.8856180831641267,-0.3333333333333333,2.0,1.0,-1,0.5691414230943331,1.2952060277213755
8035,,0.6666666666666666,-1,0.0,-1,-0.6666666666666666,-1,0.6666666666666666,-1,0.3333333333333333,-1,1.0,-1,1.0,-1,-0.3333333333333333,-1,0.25,-1,0.6666666666666666,-1,1.0,-1,-0.3333333333333333,-1,1.0,-1,-0.6666666666666666,-1,0.6666666666666666,-1,-0.3333333333333333,-1,1.0,-1,0.6006834092870403,
8546,,0.6666666666666666,-1,-0.6666666666666666,0.0,-0.6666666666666666,-1,0.6666666666666666,-1,0.3333333333333333,-1,1.0,-1,1.0,-1,-0.3333333333333333,-1,0.25,-1,0.0,-1,1.0,-1,0.0,-1,1.0,-1,-0.6666666666666666,-1,0.3333333333333333,1.8856180831641267,0.3333333333333333,0.0,1.0,-1,0.6156624685517503,0.6285393610547089
9332,,0.8333333333333334,-1,-0.3333333333333333,1.5,-0.6666666666666666,-1,1.0,-1,0.16666666666666666,-1,1.0,-1,1.0,-1,0.0,1.247219128924647,0.25,0.0,-0.16666666666666666,1.0897247358851685,1.0,-1,0.3333333333333333,0.4714045207910317,1.0,-1,-0.5,0.9428090415820634,0.3333333333333333,1.5,-0.3333333333333333,1.4142135623730951,0.8333333333333334,-1,0.48250002778283424,1.0206713736945008
,Richard Carson,0.6666666666666666,-1,-0.3333333333333333,-1,0.0,-1,0.6666666666666666,-1,0.0,-1,1.0,-1,0.6666666666666666,-1,-0.3333333333333333,-1,0.5,-1,0.0,-1,0.7142857142857143,-1,0.6666666666666666,-1,1.0,-1,-0.5,-1,0.6666666666666666,-1,-0.3333333333333333,-1,1.0,-1,0.6991087834752951,
63905,Richard Carson,1.0,-1,-0.3333333333333333,-1,-0.6666666666666666,0.0,1.0,-1,0.0,-1,0.75,-1,0.6666666666666666,-1,-0.3333333333333333,-1,0.5,2.0,0.0,-1,0.42857142857142855,-1,0.3333333333333333,-1,0.7142857142857143,-1,-0.6666666666666666,-1,0.0,0.0,-0.3333333333333333,-1,1.0,-1,0.714007617088685,0.6666666666666666
48321,Richard Carson,0.6666666666666666,-1,0.3333333333333333,0.0,-0.3333333333333333,-1,0.3333333333333333,-1,0.0,-1,1.0,-1,0.6666666666666666,-1,0.0,-1,0.75,-1,0.0,-1,0.7142857142857143,-1,0.6666666666666666,-1,1.0,-1,-0.6666666666666666,-1,0.0,0.0,-0.3333333333333333,2.0,1.0,-1,0.7125854221363462,0.6666666666666666
1897,Richard Carson,0.6666666666666666,-1,-0.3333333333333333,-1,-0.3333333333333333,-1,1.0,-1,0.0,-1,1.0,-1,1.0,-1,-0.3333333333333333,-1,0.5,-1,0.0,-1,0.7142857142857143,-1,0.6666666666666666,-1,1.0,-1,-0.5,-1,0.6666666666666666,-1,-0.3333333333333333,-1,1.0,-1,0.6080556691566011,
2509,Richard Carson,0.6666666666666666,-1,0.0,-1,-0.6666666666666666,0.0,0.6666666666666666,-1,0.3333333333333333,-1,1.0,-1,1.0,-1,-0.3333333333333333,-1,0.5,2.0,-0.3333333333333333,-1,0.7142857142857143,-1,0.3333333333333333,-1,1.0,-1,-0.8333333333333334,-1,0.3333333333333333,-1,-0.6666666666666666,-1,1.0,-1,0.6255309876569533,1.0
60312,Richard Carson,1.0,-1,0.0,-1,-0.3333333333333333,-1,0.6666666666666666,-1,0.0,-1,0.75,-1,1.0,-1,0.3333333333333333,0.0,0.5,2.0,0.3333333333333333,1.247219128924647,0.7142857142857143,-1,0.6666666666666666,-1,1.0,-1,-1.0,0.5,0.6666666666666666,2.0,0.0,-1,1.0,-1,0.5937858527610703,1.1494438257849295
7754,Richard Carson,0.16666666666666666,0.8,-0.16666666666666666,1.2133516482134197,-0.16666666666666666,0.9797958971132713,0.16666666666666666,0.8,0.0,1.0,0.125,0.0,0.0,0.7453559924999298,0.0,0.9428090415820634,0.0,0.8660254037844386,0.16666666666666666,1.2133516482134197,0.0,0.6998542122237653,0.0,0.7453559924999298,0.0,0.0,-0.16666666666666666,0.9428090415820634,-0.16666666666666666,0.8975274678557508,0.0,0.9428090415820634,0.0,0.0,0.17290969927251934,0.7522967874794185
49202,Richard Carson,0.6666666666666666,-1,0.0,-1,-0.6666666666666666,0.0,1.0,-1,0.0,-1,1.0,-1,0.6666666666666666,-1,-0.3333333333333333,-1,0.25,-1,0.0,-1,0.7142857142857143,-1,0.3333333333333333,-1,1.0,-1,-0.8333333333333334,-1,0.3333333333333333,-1,-0.3333333333333333,-1,1.0,-1,0.6498871875796252,0.0
2246,Richard Carson,0.6666666666666666,-1,-0.3333333333333333,-1,-0.3333333333333333,-1,1.0,-1,0.0,-1,1.0,-1,1.0,-1,-0.3333333333333333,-1,0.75,-1,0.0,-1,0.7142857142857143,-1,0.3333333333333333,-1,1.0,-1,-1.0,0.5,0.6666666666666666,-1,0.0,-1,1.0,-1,0.5660729524304721,0.5
13033,Richard Carson,0.6666666666666666,1.4142135623730951,-0.16666666666666666,0.9428090415820634,-0.16666666666666666,-1,0.6666666666666666,2.0,0.0,-1,0.875,-1,0.5,-1,0.16666666666666666,1.6393596310755,0.5,2.0,-0.16666666666666666,1.5,0.8571428571428571,-1,0.5,-1,1.0,-1,-0.6666666666666666,0.9428090415820634,0.3333333333333333,0.0,-0.16666666666666666,1.469693845669907,0.8333333333333334,-1,0.6439615661001785,1.323209458031403
58305,Richard Carson,0.3333333333333333,-1,-0.3333333333333333,-1,-0.3333333333333333,-1,1.0,-1,0.0,-1,1.0,-1,1.0,-1,-0.3333333333333333,-1,0.25,-1,0.0,-1,0.7142857142857143,-1,0.3333333333333333,-1,1.0,-1,-0.8333333333333334,-1,0.6666666666666666,-1,-0.6666666666666666,-1,1.0,-1,0.602678543407986,
41929,Richard Carson,0.6666666666666666,-1,-0.3333333333333333,-1,0.0,-1,0.6666666666666666,2.0,0.0,-1,1.0,-1,0.6666666666666666,-1,-0.3333333333333333,-1,0.5,2.0,0.0,-1,0.7142857142857143,-1,0.3333333333333333,-1,1.0,-1,-0.8333333333333334,-1,0.6666666666666666,-1,-0.6666666666666666,-1,1.0,-1,0.676103805853177,2.0
20141,Richard Carson,1.0,-1,-0.16666666666666666,1.5,-0.6666666666666666,0.0,0.8333333333333334,1.5,0.0,-1,1.0,-1,0.6666666666666666,-1,-0.3333333333333333,2.0,0.25,-1,0.16666666666666666,-1,0.42857142857142855,-1,0.3333333333333333,-1,0.7142857142857143,-1,-0.6666666666666666,-1,0.3333333333333333,-1,0.0,1.8856180831641267,1.0,-1,0.694343293287548,1.3771236166328253
