steer_dim,player_name,Achievement,Achievement:scstd,Aesthetic,Aesthetic:scstd,Anxiety Disorder,Anxiety Disorder:scstd,Breadth of Interest,Breadth of Interest:scstd,Economic,Economic:scstd,Empathy,Empathy:scstd,Organization,Organization:scstd,Political,Political:scstd,Positive coping,Positive coping:scstd,Religious,Religious:scstd,Resilience,Resilience:scstd,Social,Social:scstd,Social Complexity,Social Complexity:scstd,Social Cynicism,Social Cynicism:scstd,Theoretical,Theoretical:scstd,Uncertainty Avoidance,Uncertainty Avoidance:scstd,Understanding,Understanding:scstd,stds,scstds
,,0.7142857142857143,-1,0.6666666666666666,-1,0.0,-1,1.0,-1,0.3333333333333333,-1,0.1111111111111111,-1,1.0,-1,1.0,-1,0.5555555555555556,-1,1.0,-1,0.75,-1,0.6666666666666666,-1,0.7142857142857143,-1,1.0,-1,1.0,-1,0.42857142857142855,-1,0.6666666666666666,-1,0.5275775637343404,
10096,,0.42857142857142855,-1,0.5,-1,0.3333333333333333,1.8856180831641267,0.6666666666666666,-1,0.3333333333333333,2.0,0.1111111111111111,-1,1.0,-1,1.0,-1,0.5555555555555556,-1,1.0,-1,0.5,-1,0.6666666666666666,-1,1.0,-1,1.0,-1,1.0,-1,0.14285714285714285,-1,0.6666666666666666,-1,0.55705957123961,1.9428090415820634
8387,,0.42857142857142855,-1,0.6666666666666666,-1,-0.16666666666666666,1.5,1.0,-1,0.3333333333333333,-1,0.5555555555555556,0.0,1.0,-1,1.0,-1,0.3333333333333333,-1,0.6666666666666666,-1,0.625,-1,0.6666666666666666,-1,0.8571428571428571,-1,0.6666666666666666,-1,0.6666666666666666,-1,0.7142857142857143,-1,0.6666666666666666,-1,0.6315306289351298,0.75
2221,,0.42857142857142855,-1,0.6666666666666666,-1,0.0,-1,1.0,-1,0.3333333333333333,-1,0.1111111111111111,-1,0.6666666666666666,-1,1.0,-1,0.5555555555555556,-1,1.0,-1,0.75,-1,0.6666666666666666,-1,0.8571428571428571,-1,1.0,-1,1.0,-1,0.42857142857142855,-1,0.6666666666666666,-1,0.5628177153266659,
1312,,0.7142857142857143,-1,0.6666666666666666,-1,0.16666666666666666,-1,1.0,-1,0.3333333333333333,-1,0.1111111111111111,-1,0.6666666666666666,-1,1.0,-1,0.7777777777777778,-1,1.0,-1,0.625,-1,0.6666666666666666,-1,0.8571428571428571,-1,1.0,-1,1.0,-1,0.7142857142857143,-1,0.6666666666666666,-1,0.5229243474356067,
7502,,0.7142857142857143,-1,0.6666666666666666,-1,0.0,-1,1.0,-1,0.3333333333333333,-1,0.1111111111111111,-1,1.0,-1,1.0,-1,0.5555555555555556,-1,1.0,-1,0.75,-1,0.6666666666666666,-1,0.5714285714285714,1.5,1.0,-1,1.0,-1,0.42857142857142855,-1,0.6666666666666666,-1,0.5292585723732179,1.5
14049,,0.7142857142857143,-1,0.6666666666666666,-1,0.0,-1,1.0,-1,0.0,-1,0.1111111111111111,-1,0.6666666666666666,-1,1.0,-1,0.7777777777777778,-1,1.0,-1,0.75,-1,0.6666666666666666,-1,1.0,-1,0.6666666666666666,-1,1.0,-1,0.42857142857142855,-1,0.6666666666666666,-1,0.5655251327323193,
3183,,0.42857142857142855,-1,0.5,-1,0.5,1.6393596310755,0.6666666666666666,-1,0.3333333333333333,1.4142135623730951,-0.1111111111111111,1.8856180831641267,0.6666666666666666,-1,0.6666666666666666,0.0,0.7777777777777778,-1,1.0,-1,0.875,1.5,0.5,-1,0.7142857142857143,1.0,1.0,-1,0.6666666666666666,-1,1.0,0.0,0.6666666666666666,-1,0.5763412029449511,1.0627416109446746
6619,,0.42857142857142855,-1,0.6666666666666666,-1,0.0,2.0,1.0,-1,0.0,-1,-0.1111111111111111,-1,0.6666666666666666,-1,1.0,-1,0.7777777777777778,-1,1.0,-1,0.625,-1,0.6666666666666666,-1,0.8571428571428571,-1,0.6666666666666666,-1,1.0,-1,0.42857142857142855,-1,0.6666666666666666,-1,0.6001200453429648,2.0
1341,,0.42857142857142855,-1,0.6666666666666666,-1,0.3333333333333333,-1,1.0,-1,0.3333333333333333,-1,0.1111111111111111,-1,1.0,-1,0.6666666666666666,-1,0.5555555555555556,-1,1.0,-1,0.75,-1,0.6666666666666666,-1,0.5714285714285714,1.5,1.0,-1,0.6666666666666666,-1,0.7142857142857143,-1,0.6666666666666666,-1,0.6135833386427428,1.5
