steer_dim,player_name,Achievement,Achievement:scstd,Aesthetic,Aesthetic:scstd,Anxiety Disorder,Anxiety Disorder:scstd,Breadth of Interest,Breadth of Interest:scstd,Economic,Economic:scstd,Empathy,Empathy:scstd,Organization,Organization:scstd,Political,Political:scstd,Positive coping,Positive coping:scstd,Religious,Religious:scstd,Resilience,Resilience:scstd,Social,Social:scstd,Social Complexity,Social Complexity:scstd,Social Cynicism,Social Cynicism:scstd,Theoretical,Theoretical:scstd,Uncertainty Avoidance,Uncertainty Avoidance:scstd,Understanding,Understanding:scstd,stds,scstds
,Sarah Roberts,0.3333333333333333,-1,0.0,-1,0.0,-1,1.0,-1,0.0,-1,0.25,-1,0.6666666666666666,-1,-0.16666666666666666,-1,0.25,-1,0.3333333333333333,-1,0.7142857142857143,-1,0.6666666666666666,-1,1.0,-1,-0.6666666666666666,-1,0.6666666666666666,-1,-0.6666666666666666,-1,1.0,-1,0.714486552873353,
63905,Sarah Roberts,0.6666666666666666,-1,-0.3333333333333333,-1,0.0,-1,1.0,-1,0.3333333333333333,-1,0.25,-1,0.6666666666666666,2.0,-0.6666666666666666,0.5,0.25,-1,0.3333333333333333,2.0,0.7142857142857143,-1,0.8333333333333334,1.5,1.0,-1,-0.16666666666666666,0.5,0.0,0.0,-0.6666666666666666,2.0,1.0,-1,0.6892001437752411,1.2142857142857142
48321,Sarah Roberts,1.0,0.0,0.3333333333333333,-1,0.0,-1,1.0,-1,0.3333333333333333,-1,0.25,-1,0.6666666666666666,-1,-0.6666666666666666,0.5,0.5,-1,0.0,-1,0.7142857142857143,-1,0.5,-1,1.0,-1,-0.6666666666666666,-1,0.0,0.0,-1.0,-1,1.0,-1,0.6129161252382322,0.16666666666666666
1897,Sarah Roberts,0.6666666666666666,-1,0.0,-1,0.0,-1,1.0,-1,0.0,-1,0.25,-1,0.6666666666666666,-1,-0.16666666666666666,-1,0.25,-1,0.3333333333333333,-1,0.7142857142857143,-1,0.6666666666666666,-1,1.0,-1,-0.6666666666666666,-1,0.6666666666666666,-1,-0.6666666666666666,-1,1.0,-1,0.7028716676332275,
2509,Sarah Roberts,0.6666666666666666,-1,0.0,-1,0.0,-1,1.0,-1,0.0,-1,0.5,-1,0.6666666666666666,-1,-0.6666666666666666,0.5,0.25,-1,0.5,-1,0.7142857142857143,-1,0.3333333333333333,-1,1.0,-1,-1.0,-1,0.3333333333333333,-1,-1.0,-1,1.0,-1,0.6129161252382322,0.5
60312,Sarah Roberts,0.6666666666666666,-1,0.3333333333333333,1.8856180831641267,0.0,-1,1.0,-1,0.3333333333333333,-1,0.5,-1,0.0,0.0,0.0,1.5,0.5,-1,0.16666666666666666,1.5,0.42857142857142855,-1,0.8333333333333334,1.5,0.5714285714285714,0.5,-0.8333333333333334,1.5,0.6666666666666666,2.0,-0.8333333333333334,-1,1.0,-1,0.6915224467252026,1.298202260395516
7754,Sarah Roberts,0.0,0.9428090415820634,-0.3333333333333333,1.2,0.16666666666666666,1.2133516482134197,0.0,0.0,0.0,1.0,0.0,0.9682458365518543,0.0,0.7453559924999298,0.0,0.9797958971132713,-0.125,1.1110243021644486,0.0,0.9428090415820634,0.14285714285714285,0.7453559924999298,0.0,0.7453559924999298,0.14285714285714285,0.0,0.0,0.7453559924999298,-0.3333333333333333,0.4,-0.16666666666666666,0.8000000000000002,0.0,0.0,0.15992577412875486,0.7376152786592259
49202,Sarah Roberts,0.6666666666666666,-1,0.3333333333333333,-1,0.0,-1,0.6666666666666666,-1,0.0,-1,0.5,-1,1.0,-1,-0.6666666666666666,0.5,0.25,-1,0.3333333333333333,-1,0.7142857142857143,-1,0.5,-1,1.0,-1,-1.0,-1,0.6666666666666666,-1,-0.6666666666666666,2.0,1.0,-1,0.6417815361205769,1.25
2246,Sarah Roberts,0.6666666666666666,-1,0.0,-1,0.0,-1,1.0,-1,0.0,-1,0.25,-1,0.6666666666666666,-1,-1.0,0.4714045207910317,0.0,-1,0.3333333333333333,-1,0.7142857142857143,-1,0.5,-1,1.0,-1,-1.0,-1,0.6666666666666666,-1,-0.6666666666666666,-1,1.0,-1,0.6091820985990221,0.4714045207910317
13033,Sarah Roberts,0.5,1.5,0.16666666666666666,1.5,0.3333333333333333,-1,0.8333333333333334,-1,0.3333333333333333,1.247219128924647,0.5,0.8660254037844386,-0.16666666666666666,0.4714045207910317,-0.6666666666666666,0.5,0.375,-1,-0.5,0.4330127018922193,0.7142857142857143,-1,0.6666666666666666,-1,0.7142857142857143,-1,-0.8333333333333334,1.5,0.5,1.699673171197595,0.0,0.4714045207910317,1.0,-1,0.665880882904154,1.0188739447380963
