steer_dim,player_name,Achievement,Achievement:scstd,Aesthetic,Aesthetic:scstd,Anxiety Disorder,Anxiety Disorder:scstd,Breadth of Interest,Breadth of Interest:scstd,Economic,Economic:scstd,Empathy,Empathy:scstd,Organization,Organization:scstd,Political,Political:scstd,Positive coping,Positive coping:scstd,Religious,Religious:scstd,Resilience,Resilience:scstd,Social,Social:scstd,Social Complexity,Social Complexity:scstd,Social Cynicism,Social Cynicism:scstd,Theoretical,Theoretical:scstd,Uncertainty Avoidance,Uncertainty Avoidance:scstd,Understanding,Understanding:scstd,stds,scstds
,,0.14285714285714285,-1,0.6666666666666666,-1,-0.6666666666666666,-1,1.0,-1,-0.3333333333333333,-1,0.7777777777777778,-1,1.0,-1,0.3333333333333333,-1,0.7777777777777778,-1,0.3333333333333333,-1,0.25,-1,0.0,-1,1.0,-1,0.0,-1,0.3333333333333333,-1,-0.14285714285714285,-1,1.0,-1,0.6745152557182917,
63905,,0.42857142857142855,-1,0.3333333333333333,-1,-0.3333333333333333,-1,1.0,-1,-0.3333333333333333,-1,0.5555555555555556,-1,1.0,-1,0.3333333333333333,-1,0.5555555555555556,-1,0.0,-1,0.25,-1,0.0,2.0,0.7142857142857143,-1,-0.3333333333333333,-1,0.6666666666666666,-1,-0.14285714285714285,-1,1.0,-1,0.7461006652510648,2.0
48321,,0.14285714285714285,-1,0.0,0.0,-0.6666666666666666,-1,1.0,-1,-0.3333333333333333,-1,0.5555555555555556,-1,1.0,-1,-0.16666666666666666,0.5,0.5555555555555556,-1,0.0,-1,0.25,-1,-0.3333333333333333,-1,1.0,-1,-0.3333333333333333,-1,-0.3333333333333333,0.0,-0.14285714285714285,-1,1.0,-1,0.7073418199425623,0.16666666666666666
1897,,0.14285714285714285,-1,0.6666666666666666,-1,-0.6666666666666666,-1,0.3333333333333333,0.0,-0.3333333333333333,-1,0.7777777777777778,-1,1.0,-1,0.0,-1,0.7777777777777778,-1,0.3333333333333333,-1,0.25,-1,0.0,-1,1.0,-1,-0.3333333333333333,-1,0.3333333333333333,-1,-0.14285714285714285,-1,1.0,-1,0.7299746111054719,0.0
2509,,0.14285714285714285,-1,0.6666666666666666,-1,-0.6666666666666666,-1,0.3333333333333333,0.0,-0.3333333333333333,-1,1.0,-1,1.0,-1,-0.3333333333333333,0.0,0.5555555555555556,-1,0.3333333333333333,-1,0.25,-1,-0.3333333333333333,-1,0.7142857142857143,-1,-0.3333333333333333,-1,0.0,-1,-0.14285714285714285,-1,1.0,-1,0.7427430788101489,0.0
60312,,0.14285714285714285,-1,0.0,0.0,-0.6666666666666666,-1,0.3333333333333333,0.0,-0.3333333333333333,-1,0.7777777777777778,2.0,1.0,-1,-0.16666666666666666,0.5,0.3333333333333333,0.0,0.3333333333333333,-1,0.25,-1,0.16666666666666666,1.699673171197595,1.0,-1,-0.3333333333333333,-1,0.0,-1,-0.14285714285714285,-1,0.6666666666666666,-1,0.7985931743205773,0.6999455285329326
7754,,-0.14285714285714285,1.1605769149479943,0.0,0.7453559924999298,0.0,0.7453559924999298,0.0,0.0,0.0,0.9428090415820634,0.1111111111111111,0.6614378277661477,0.0,0.0,0.0,0.9428090415820634,-0.1111111111111111,0.7370277311900889,-0.16666666666666666,0.8,0.0,0.9682458365518543,0.0,1.0,-0.14285714285714285,0.34992710611188266,-0.16666666666666666,1.2133516482134197,0.16666666666666666,1.2133516482134197,0.0,0.989743318610787,0.0,0.0,0.1439075036487276,0.7335289470452695
49202,,0.14285714285714285,-1,0.3333333333333333,-1,-0.6666666666666666,-1,1.0,-1,-0.3333333333333333,-1,0.7777777777777778,-1,1.0,-1,-0.16666666666666666,0.5,0.5555555555555556,-1,0.0,-1,0.0,-1,-0.3333333333333333,-1,1.0,-1,0.0,-1,0.3333333333333333,-1,-0.14285714285714285,-1,1.0,-1,0.6972720614260774,0.5
2246,,0.42857142857142855,-1,0.6666666666666666,-1,-0.3333333333333333,-1,1.0,-1,-0.3333333333333333,-1,0.7777777777777778,-1,1.0,-1,0.0,-1,0.5555555555555556,-1,0.0,-1,0.25,-1,-0.3333333333333333,-1,1.0,-1,-0.3333333333333333,-1,0.0,-1,-0.14285714285714285,-1,1.0,-1,0.6963592939549343,
13033,,0.42857142857142855,1.247219128924647,-0.3333333333333333,0.4,-1.0,-1,0.8333333333333334,-1,-0.16666666666666666,1.299038105676658,0.7777777777777778,1.4142135623730951,0.6666666666666666,0.0,0.0,1.247219128924647,0.5555555555555556,0.0,0.16666666666666666,1.299038105676658,0.0,1.247219128924647,0.0,1.0,0.42857142857142855,0.4714045207910317,-0.3333333333333333,1.2000000000000002,0.3333333333333333,1.2649110640673518,-0.14285714285714285,-1,0.5,0.5,0.6142780257878228,0.8993044818113383
