steer_dim,player_name,Affiliation,Affiliation:scstd,Assertiveness,Assertiveness:scstd,Behavioral Inhibition System,Behavioral Inhibition System:scstd,Breadth of Interest,Breadth of Interest:scstd,Complexity,Complexity:scstd,Dependence,Dependence:scstd,Depth,Depth:scstd,Emotional Expression,Emotional Expression:scstd,Emotional Processing,Emotional Processing:scstd,Empathy,Empathy:scstd,Extraversion,Extraversion:scstd,Imagination,Imagination:scstd,Nurturance,Nurturance:scstd,Perspective Taking,Perspective Taking:scstd,Poise,Poise:scstd,Positive Expressivity,Positive Expressivity:scstd,Preference for Order and Structure,Preference for Order and Structure:scstd,Privacy,Privacy:scstd,Psychosocial flourishing,Psychosocial flourishing:scstd,Reflection,Reflection:scstd,Satisfaction with life,Satisfaction with life:scstd,Sociability,Sociability:scstd,Social,Social:scstd,Social Confidence,Social Confidence:scstd,Social Withdrawal,Social Withdrawal:scstd,Sympathy,Sympathy:scstd,Tenderness,Tenderness:scstd,Theoretical,Theoretical:scstd,Understanding,Understanding:scstd,Warmth,Warmth:scstd,stds
,David Freeman,0.7142857142857143,0,0.5833333333333334,0,-0.25,0,0.9166666666666666,0,0.75,0,1.0,0,0.75,0,0.5,0,1.0,0,0.7777777777777778,0,0.6666666666666666,0,0.75,0,0.6,0,0.8333333333333334,0,1.0,0,0.75,0,0.7142857142857143,0,1.0,0,0.875,0,1.0,0,0.75,0,0.5,0,0.4117647058823529,0,0.8333333333333334,0,-1.0,0,0.7777777777777778,0,0.5555555555555556,0,0.3157894736842105,0,1.0,0,1.0,0,0.453129260941552
63905,David Freeman,0.42857142857142855,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.625,0.0,1.0,0.0,1.0,0,0.6666666666666666,1.247219128924647,0.8888888888888888,1.247219128924647,1.0,0.0,1.0,0.0,0.8333333333333334,0,1.0,0,0.75,1.0,0.7142857142857143,0,1.0,0,1.0,0.0,1.0,0,0.5,0.0,0.25,1.6393596310755,0.4117647058823529,1.4142135623730951,1.0,0.0,-1.0,0,0.7777777777777778,0,0.5555555555555556,2.0,0.3684210526315789,1.355261854357877,0.875,0.0,1.0,0,0.3822903555480473
48321,David Freeman,0.42857142857142855,0.0,0.5833333333333334,1.0,0.0,0.0,0.8333333333333334,0.0,0.75,0,1.0,0,0.75,0,0.5,0,1.0,0,0.7777777777777778,2.0,0.6666666666666666,1.0,0.75,0,0.8,0.0,0.8333333333333334,0,1.0,0,1.0,0.0,0.5,0.0,1.0,0,0.875,0,1.0,0,0.25,0.0,0.4166666666666667,1.469693845669907,0.23529411764705882,0.8000000000000002,0.8333333333333334,1.0,-1.0,0,0.7777777777777778,0,0.4444444444444444,0.0,0.21052631578947367,1.2,1.0,0,1.0,0,0.44906868715559883
1897,David Freeman,0.7142857142857143,0,0.5833333333333334,0,-0.25,0,1.0,0.0,1.0,0.0,1.0,0,0.75,0,1.0,0.0,1.0,0,0.6666666666666666,0.0,0.6666666666666666,1.0,0.75,0,0.6,0,0.8333333333333334,0,1.0,0,1.0,0.0,0.5,0.0,1.0,0,0.875,0,1.0,0,0.75,0,0.25,0.5,0.47058823529411764,0.9428090415820634,1.0,0.0,-1.0,0,0.7777777777777778,0,0.5555555555555556,0,0.42105263157894735,0.0,1.0,0,1.0,0,0.3739091227793237
2509,David Freeman,1.0,0.0,0.3333333333333333,0.0,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0,0.75,0,0.5,0,1.0,0,0.7777777777777778,2.0,0.5555555555555556,0.9428090415820634,1.0,0.0,0.6,2.0,0.8333333333333334,0,1.0,0,1.0,0.0,0.5714285714285714,0.0,1.0,0,0.875,0,1.0,0,-0.25,0.0,0.25,0.5,0.5882352941176471,0.8000000000000002,0.8333333333333334,1.0,-1.0,0,0.7777777777777778,0,0.2222222222222222,0.5,0.3684210526315789,0.9797958971132713,1.0,0,1.0,0,0.39210219233247146
49202,David Freeman,0.7142857142857143,0,0.4166666666666667,0.0,0.0,0.0,0.9166666666666666,0,0.75,0,1.0,0,0.75,0,1.0,0.0,1.0,0,0.6666666666666666,0.0,0.6666666666666666,1.0,0.75,0,0.6,0,0.8333333333333334,0,1.0,0,1.0,0.0,0.7142857142857143,0,1.0,0,0.75,0.0,1.0,0,0.75,0,0.6666666666666666,0.0,0.5294117647058824,1.1605769149479943,0.6666666666666666,1.5,-0.6666666666666666,0.0,0.7777777777777778,0,0.4444444444444444,0.0,0.5263157894736842,0.0,1.0,0,1.0,0,0.4375696309028322
2246,David Freeman,0.7142857142857143,0,0.3333333333333333,0.0,-0.25,0,0.9166666666666666,1.0,1.0,0.0,1.0,0,0.75,0,0.5,0,1.0,0,0.6666666666666666,0.0,0.6666666666666666,1.0,1.0,0.0,0.6,0,0.8333333333333334,0,1.0,0,1.0,0.0,0.5714285714285714,0.0,1.0,0,0.75,0.0,1.0,0,0.25,0.0,0.4166666666666667,0.0,0.5294117647058824,0.8660254037844386,0.6666666666666666,0.9428090415820634,-1.0,0,0.7777777777777778,0,0.3333333333333333,0.0,0.42105263157894735,1.2,1.0,0,1.0,0,0.4370901629509861
58305,David Freeman,0.7142857142857143,0,0.4166666666666667,0.0,-0.25,0,1.0,0.0,1.0,0.0,1.0,0,0.75,0,1.0,0.0,1.0,0,0.6111111111111112,1.4142135623730951,0.7777777777777778,0.0,1.0,0.0,0.6,0,0.8333333333333334,0,1.0,0,0.75,0,0.7142857142857143,0,1.0,0,0.875,0,1.0,0,0.5,0.0,0.16666666666666666,0.4714045207910317,0.35294117647058826,1.2133516482134197,1.0,0.0,-1.0,0,0.8888888888888888,0.0,0.5555555555555556,0,0.5263157894736842,0.0,1.0,0,1.0,0,0.38561736325474044
41929,David Freeman,0.42857142857142855,0.0,0.3333333333333333,0.0,0.25,0.0,0.9166666666666666,1.0,0.75,0,1.0,0,0.75,0,1.0,0.0,1.0,0,0.7777777777777778,0,0.6666666666666666,1.0,0.75,0,1.0,0.0,0.8333333333333334,0,1.0,0,0.75,0,0.7142857142857143,0,1.0,0,1.0,0.0,1.0,0,0.25,0.0,0.4166666666666667,0.0,0.7058823529411765,1.1605769149479943,1.0,0.0,-1.0,0,0.7777777777777778,0,0.4444444444444444,0.0,0.47368421052631576,1.118033988749895,1.0,0,1.0,0,0.39701099284691826
20141,David Freeman,0.42857142857142855,0.0,0.5,0.0,-0.5,0.9428090415820634,0.75,0.0,0.5,0.0,1.0,0,0.75,1.0,1.0,0.0,1.0,0,0.5555555555555556,0.9797958971132713,0.6666666666666666,1.4142135623730951,0.75,0,0.4,1.247219128924647,0.8333333333333334,0,0.8333333333333334,0.0,0.5,1.247219128924647,0.42857142857142855,0.0,1.0,0,1.0,0.0,1.0,0,-0.25,0.0,0.3333333333333333,1.2,0.058823529411764705,0.6614378277661477,0.5,0.0,-1.0,0,0.6666666666666666,0.9428090415820634,0.3333333333333333,0.0,0.2631578947368421,0.989743318610787,0.75,0.4714045207910317,1.0,0,0.4616798496660689
