steer_dim,player_name,Affiliation,Affiliation:scstd,Assertiveness,Assertiveness:scstd,Behavioral Inhibition System,Behavioral Inhibition System:scstd,Breadth of Interest,Breadth of Interest:scstd,Complexity,Complexity:scstd,Dependence,Dependence:scstd,Depth,Depth:scstd,Emotional Expression,Emotional Expression:scstd,Emotional Processing,Emotional Processing:scstd,Empathy,Empathy:scstd,Extraversion,Extraversion:scstd,Imagination,Imagination:scstd,Nurturance,Nurturance:scstd,Perspective Taking,Perspective Taking:scstd,Poise,Poise:scstd,Positive Expressivity,Positive Expressivity:scstd,Preference for Order and Structure,Preference for Order and Structure:scstd,Privacy,Privacy:scstd,Psychosocial flourishing,Psychosocial flourishing:scstd,Reflection,Reflection:scstd,Satisfaction with life,Satisfaction with life:scstd,Sociability,Sociability:scstd,Social,Social:scstd,Social Confidence,Social Confidence:scstd,Social Withdrawal,Social Withdrawal:scstd,Sympathy,Sympathy:scstd,Tenderness,Tenderness:scstd,Theoretical,Theoretical:scstd,Understanding,Understanding:scstd,Warmth,Warmth:scstd,stds
,,0.7142857142857143,0,0.16666666666666666,0,0.0,0,1.0,0,1.0,0,0.3333333333333333,0,0.75,0,0.5,0,1.0,0,0.6666666666666666,0,0.1111111111111111,0,0.75,0,0.4,0,0.6666666666666666,0,0.6666666666666666,0,0.75,0,0.7142857142857143,0,1.0,0,0.75,0,0.75,0,-0.25,0,0.25,0,0.35294117647058826,0,0.6666666666666666,0,-0.3333333333333333,0,0.7777777777777778,0,0.2222222222222222,0,0.21052631578947367,0,1.0,0,1.0,0,0.6259990205227283
12477,,0.7142857142857143,0,0.16666666666666666,0,0.0,0,1.0,0,1.0,0,1.0,0.0,0.75,0,0.5,0,1.0,0,0.6666666666666666,0,0.1111111111111111,0,0.75,0,0.4,0,0.6666666666666666,0,0.6666666666666666,0,0.75,0,0.7142857142857143,0,1.0,0,0.75,0,0.75,0,-0.25,0,0.3333333333333333,0.0,0.29411764705882354,0.0,0.6666666666666666,0,-0.3333333333333333,0,0.7777777777777778,0,0.3333333333333333,0.0,0.3157894736842105,0.0,1.0,0,1.0,0,0.5925123387050785
54606,,0.42857142857142855,0.0,0.3333333333333333,0.0,-0.25,0.0,1.0,0,1.0,0,1.0,0.0,0.75,0,1.0,0.0,1.0,0,0.6666666666666666,0,0.3333333333333333,0.0,1.0,0.0,0.4,2.0,0.6666666666666666,0,0.6666666666666666,0,0.75,0,0.6428571428571429,0.0,1.0,0,0.75,0,0.75,0,-0.25,0,0.4166666666666667,0.0,0.5294117647058824,1.4142135623730951,1.0,0.0,-0.3333333333333333,0,0.7777777777777778,0,0.4444444444444444,0.0,0.2631578947368421,0.9797958971132713,1.0,0,1.0,0,0.513665644146246
21347,,0.7142857142857143,0,0.16666666666666666,0,0.0,0,1.0,0,1.0,0,0.3333333333333333,0,0.75,0,0.5,0,1.0,0,0.6666666666666666,0,0.1111111111111111,0,0.75,0,0.4,0,0.5,0.0,0.6666666666666666,0,0.75,0,0.7142857142857143,0,1.0,0,0.75,0,0.75,0,-0.25,0,0.25,0,0.4117647058823529,1.5,0.6666666666666666,0,-0.3333333333333333,0,0.7777777777777778,0,0.2222222222222222,0,0.21052631578947367,0,1.0,0,1.0,0,0.6244600386435024
4305,,0.0,1.0954451150103321,0.25,1.7853571071357126,-0.75,0.5,1.0,0,1.0,0,0.0,0.0,0.75,0,1.0,0.0,1.0,0,0.3333333333333333,1.1661903789690602,0.0,1.8330302779823362,1.0,0.0,0.5,1.5,0.5,0.0,1.0,0.0,0.625,0.0,0.5,1.0897247358851685,1.0,0,0.875,1.5,1.0,0.0,-0.25,1.0,0.0,1.0897247358851685,0.058823529411764705,1.02469507659596,0.8333333333333334,1.5,-0.6666666666666666,0.0,0.5555555555555556,1.247219128924647,0.1111111111111111,1.4696938456699071,0.3684210526315789,0.9035079029052512,0.9375,0.0,0.6666666666666666,0.0,0.5032696702849933
30919,,0.5714285714285714,1.5,0.0,1.247219128924647,-0.25,0.0,0.9166666666666666,0.0,1.0,0,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0,0.5555555555555556,0.0,0.3333333333333333,1.247219128924647,1.0,0.0,0.5,1.5,0.8333333333333334,0.0,1.0,0.0,0.75,1.4142135623730951,0.7142857142857143,1.0,1.0,0,0.875,1.5,1.0,0.0,-0.25,0,-0.08333333333333333,1.224744871391589,0.5882352941176471,1.0497813183356477,0.6666666666666666,1.0,-0.3333333333333333,2.0,0.7777777777777778,0,0.2222222222222222,1.0,0.3684210526315789,0.9035079029052513,0.8125,0.5,1.0,0,0.4685815749089501
34598,,0.7142857142857143,0,0.3333333333333333,0.0,0.0,0,1.0,0,1.0,0,0.3333333333333333,0,0.75,0,0.5,0,1.0,0,0.6666666666666666,0,0.3333333333333333,0.0,0.75,0,0.4,0,0.6666666666666666,0,0.6666666666666666,0,0.75,0,0.7142857142857143,0,1.0,0,0.625,0.0,1.0,0.0,-0.25,0,0.25,0,0.35294117647058826,0,1.0,0.0,-0.3333333333333333,0,0.7777777777777778,0,0.5555555555555556,0.5,0.15789473684210525,0.0,1.0,0,1.0,0,0.5785417908813887
51010,,0.42857142857142855,0.0,0.16666666666666666,2.0,-0.25,0.0,1.0,0,1.0,0,1.0,0.0,0.75,0,0.5,0,1.0,0,0.6666666666666666,0,0.1111111111111111,2.0,0.75,0,0.6,0.0,0.6666666666666666,0,0.6666666666666666,0,0.75,0,0.7142857142857143,0,1.0,0,0.75,0,0.75,0,-0.25,0,0.5,0.5,0.23529411764705882,1.5,1.0,0.0,-0.3333333333333333,0,0.7777777777777778,0,0.4444444444444444,0.0,0.21052631578947367,0,1.0,0,1.0,0,0.5611885416124954
62769,,0.42857142857142855,0.0,0.3333333333333333,0.0,-0.25,0.0,1.0,0,0.75,0.0,0.3333333333333333,0,0.625,0.0,0.5,0,1.0,0,0.7777777777777778,0.0,0.3333333333333333,0.0,0.75,0,0.5,1.699673171197595,0.5,0.0,0.6666666666666666,0,0.625,0.0,0.5,0.8,1.0,0,1.0,0.0,0.75,1.0,-0.5,0.0,-0.08333333333333333,0.4714045207910317,0.23529411764705882,0.0,1.0,0.0,-0.6666666666666666,0.0,0.7777777777777778,0,0.4444444444444444,0.0,0.21052631578947367,1.1952286093343936,0.875,0.0,1.0,0,0.5701755829475113
47207,,1.0,0.0,0.4166666666666667,0.5,-0.5,0.0,1.0,0,1.0,0,1.0,0.0,0.75,0,0.5,0,1.0,0,0.6666666666666666,2.0,0.4444444444444444,1.4142135623730951,1.0,0.0,0.4,2.0,0.6666666666666666,1.0,0.6666666666666666,2.0,0.5,0.0,0.6428571428571429,0.0,1.0,0,1.0,0.0,1.0,0.0,-0.5,0.0,0.08333333333333333,0.0,0.23529411764705882,0.8660254037844386,0.8333333333333334,1.5,-1.0,0.0,0.7777777777777778,0,0.3333333333333333,1.5,0.5263157894736842,1.2453996981544782,1.0,0,1.0,0,0.4599327840592159
,Molly Lopez,1.0,0,0.6666666666666666,0,0.0,0,0.8333333333333334,0,1.0,0,1.0,0,0.625,0,1.0,0,1.0,0,0.6666666666666666,0,0.5555555555555556,0,1.0,0,0.2,0,0.8333333333333334,0,0.6666666666666666,0,0.5,0,0.5,0,1.0,0,0.875,0,1.0,0,-0.5,0,0.3333333333333333,0,0.23529411764705882,0,1.0,0,-1.0,0,0.7777777777777778,0,0.1111111111111111,0,0.5263157894736842,0,0.875,0,1.0,0,0.46657982601056347
12477,Molly Lopez,1.0,0,0.5,0.0,-0.5,0.0,0.8333333333333334,0,1.0,0,1.0,0,0.625,0,1.0,0,1.0,0,0.6666666666666666,0,0.5555555555555556,0,1.0,0,0.2,0,0.8333333333333334,0,0.6666666666666666,0,0.5,0,0.5,0,1.0,0,0.875,0,1.0,0,-0.5,0,0.5,0.0,0.17647058823529413,0.9428090415820634,1.0,0,-1.0,0,0.7777777777777778,0,0.1111111111111111,0,0.5789473684210527,0.0,0.875,0,1.0,0,0.4627154914780751
54606,Molly Lopez,1.0,0,0.6666666666666666,0,0.0,0,0.8333333333333334,0,1.0,0,1.0,0,0.75,0.0,1.0,0,1.0,0,0.6666666666666666,0,0.5555555555555556,0,1.0,0,0.0,0.0,0.8333333333333334,0,0.6666666666666666,0,0.5,0,0.35714285714285715,0.8660254037844386,1.0,0,0.875,0,1.0,0,-0.5,0,0.4166666666666667,0.0,0.29411764705882354,0.0,1.0,0,-1.0,0,0.7777777777777778,0,0.1111111111111111,0,0.3157894736842105,0.4714045207910317,0.875,0,1.0,0,0.470622672015436
21347,Molly Lopez,1.0,0,0.5,0.0,0.0,0,0.8333333333333334,0,1.0,0,1.0,0,0.625,0,1.0,0,1.0,0,0.6111111111111112,0.0,0.4444444444444444,0.0,1.0,0,0.2,0,0.8333333333333334,0,0.6666666666666666,0,0.75,0.0,0.5,0,1.0,0,0.875,0,1.0,0,-0.5,0,0.4166666666666667,0.0,0.23529411764705882,0,0.8333333333333334,0.0,-1.0,0,0.7777777777777778,0,0.1111111111111111,0,0.47368421052631576,0.0,0.875,0,1.0,0,0.4738544510322927
4305,Molly Lopez,0.42857142857142855,0.0,0.25,0.4330127018922193,-0.25,1.5,0.8333333333333334,0,1.0,0,1.0,0,0.75,0.0,1.0,0,1.0,0,0.3333333333333333,1.2453996981544784,0.4444444444444444,1.299038105676658,0.75,0.0,0.2,1.4142135623730951,0.6666666666666666,0.0,0.6666666666666666,1.4142135623730951,0.75,1.247219128924647,0.35714285714285715,0.8660254037844386,1.0,0,1.0,0.0,1.0,0,-0.5,0,0.4166666666666667,1.5,0.35294117647058826,1.1134044285378082,0.8333333333333334,0.0,-1.0,0,0.6666666666666666,0.9428090415820634,0.3333333333333333,0.0,0.42105263157894735,0.9797958971132712,0.75,0.0,1.0,0,0.46670153809496345
